OBJECTID,Tract_1,CIscore,HazScore,HealthScor,SVscore,CCVscore,Shape__Are,Shape__Len
1845,6037920313,7,2,1,2,2,4304104.38671875,9250.8686315072
1846,6037920314,4,1,1,1,1,16733531.6171875,19526.8038753894
1849,6037551600,0,5,1,0,5,1332454.94140625,5794.70687114849
1855,6037461200,6,1,1,1,3,3615324.25,10267.3128269864
1856,6037460502,5,2,1,1,1,3830025.6015625,11177.5542459904
1858,6037461000,7,1,1,3,2,2681975.28125,9415.289770187508
1862,6037141700,5,1,2,1,1,4743542.52734375,11666.1539111307
1874,6037463800,7,1,2,1,3,4183123.8984375,10255.9843855141
1885,6037500100,6,1,3,1,1,14463030.3164063,18853.7646500078
1907,6037621201,6,2,2,1,1,2385500.265625,6383.31383160334
1909,6037620303,6,2,2,1,1,1689759.5078125,5861.1786475994895
1910,6037620400,7,3,2,1,1,3750333.5390625,7760.62023711908
1911,6037620901,4,1,1,1,1,1267518.9765625,4738.4201008485
1912,6037620800,6,2,2,1,1,3612470.375,7753.654914120129
1916,6037700700,7,2,3,1,1,5162797.87109375,11808.1966928589
1920,6037980014,0,5,3,0,4,10827176.921875,24970.1647240903
1921,6037980013,0,5,4,0,2,7724369.80078125,12607.9159230107
1926,6037670407,5,2,1,1,1,1820571.94921875,6375.49785954584
1927,6037599100,0,0,1,2,1,482099740.710938,190108.20926344296
1928,6037670201,4,1,1,1,1,7079167.109375,17379.6688233624
1931,6037574000,7,1,1,1,4,2639486.46484375,7024.42818077915
1932,6037910807,4,1,1,1,1,8119140.359375,14177.5274852309
1934,6037920200,0,0,2,3,1,16743029.3007813,24283.3681076396
1935,6037920104,6,3,1,1,1,233700139.453125,85097.36272391668
1936,6037920016,4,1,1,1,1,3182092.13671875,8201.698076884659
1937,6037920028,4,1,1,1,1,3975173.0703125,11624.706766149
1938,6037910805,7,1,1,2,3,162389347.496094,73108.7790813224
1940,6037920035,5,1,1,2,1,3638224.0078125,7474.788419170459
1941,6037920334,6,2,1,1,2,4122167.8007812495,8252.31247983928
1942,6037920042,7,3,1,2,1,5546954.01953125,14571.674503548
1943,6037910809,4,1,1,1,1,17837171.1445313,23081.0811616559
1944,6037920018,6,3,1,1,1,1418263.625,4850.93925275519
1946,6037106020,6,1,1,2,2,2969615.21484375,8568.53490210136
1947,6037920034,5,2,1,1,1,13282196.3984375,16578.7860636606
1948,6037910808,4,1,1,1,1,15886433.7148438,22940.628118585
1959,6037920017,4,1,1,1,1,3060829.80859375,7577.35631967083
1964,6037800325,5,1,1,1,2,3380652.421875,9251.65717790088
1981,6037930200,6,1,1,3,1,448819655.683594,168641.921974266
2012,6037620522,5,1,2,1,1,1088434.53125,4171.13324919002
2014,6037620602,7,3,2,1,1,1963906.80859375,6873.38132786925
2015,6037621002,6,2,1,1,2,477537.3671875,5637.38544556294
2018,6037620501,5,2,1,1,1,3778803.4882812495,7775.77261604755
2020,6037620702,6,2,2,1,1,1924004.390625,6239.851289108329
2021,6037621301,6,2,2,1,1,2275973.7421875,6381.85280628059
2022,6037930401,6,2,1,1,2,2043047.7734375,6823.91623527408
2023,6037920115,5,2,1,1,1,5300871.60546875,12826.6283298824
2043,6037599000,0,0,1,2,1,5103631.609375,10828.5163615483
2044,6037577603,7,1,2,1,3,4330018.6328125,8920.46876414503
2046,6037577602,7,2,2,1,2,2020218.36328125,6335.61239152461
2053,6037920031,5,1,1,1,2,9353842.40625,17903.61958939
2054,6037920111,4,1,1,1,1,1748630.44140625,7296.97445161655
2055,6037920112,6,2,1,1,2,2552480.6328125,6515.43790212856
2056,6037310300,6,1,2,1,2,1555181.7109375,6863.58788861858
2066,6037406300,5,1,1,2,1,7417318.304687501,11686.1899614362
2069,6037800324,5,2,1,1,1,5254784.88671875,11800.9855034725
2070,6037800326,5,2,1,1,1,61557359.57031249,45092.8422591299
2083,6037261101,6,1,3,1,1,9781722.43359375,23066.5805591776
2084,6037261102,6,1,2,1,2,11598734.921875,20267.7311024234
2087,6037273600,7,2,3,1,1,858849.3242187501,3959.7646597001
2088,6037273200,5,1,2,1,1,937491.140625,4235.75044075754
2089,6037273300,5,1,2,1,1,832009.921875,4117.951208556249
2130,6037621400,4,1,1,1,1,1848788.13671875,5883.7736066670095
2152,6037920012,5,1,1,1,2,106965668.554688,61708.4525601542
2153,6037920011,5,1,1,2,1,241192852.41796896,91553.38779686943
2155,6037910811,4,1,1,1,1,477162217.75,175206.039513117
2157,6037901213,6,1,1,1,3,91987326.9960938,51686.2776725414
2172,6037920108,5,2,1,1,1,4098674.015625,10389.1479738091
2173,6037920106,6,1,2,2,1,68970538.1679688,39186.032512737
2174,6037920107,4,1,1,1,1,16833747.3125,28597.3672867748
2175,6037920109,4,1,1,1,1,3335809.6640625,10078.6058800476
2176,6037920331,5,1,1,1,2,2223536.9296875,6144.5860330059295
2177,6037920110,4,1,1,1,1,1536859.578125,6344.71672336415
2178,6037910804,6,1,1,1,3,96276122.375,45540.546769769
2180,6037920033,5,1,1,2,1,5071766.1171875,10781.4893460665
2181,6037920040,4,1,1,1,1,4369874.80859375,10030.6787928638
2182,6037920013,5,1,1,1,2,12245363.0351563,16244.1433546665
2183,6037920039,5,2,1,1,1,1533308.46484375,6406.24515797596
2184,6037300701,5,1,1,1,2,19576301.734375,23497.0226604357
2185,6037300702,5,1,1,1,2,16791406.734375,24511.7593497497
2189,6037103101,6,1,1,2,2,2983240.1953125,9337.86882977648
2191,6037403702,7,2,2,1,2,2498650.0234375,6944.99980953952
2192,6037403408,7,1,2,2,2,4630051.828125,9513.944714902687
2197,6037401001,6,1,2,1,2,2121676.12109375,5826.57587691406
2203,6037403902,7,1,2,2,2,3089861.3984375,6861.58923160116
2213,6037276400,7,1,4,1,1,1858274.25,5964.60041649686
2214,6037276601,6,2,2,1,1,3267055.44921875,8551.2287267436
2217,6037480703,7,2,2,1,2,1666810.75,8267.707004052958
2220,6037400206,7,1,3,1,2,5428261.88671875,13693.8864228269
2226,6037117303,6,2,1,1,2,2639070.27734375,6683.83852212166
2250,6037320000,0,0,3,0,2,1820858.0390625,6356.33732476947
2271,6037800328,4,1,1,1,1,14329565.7070313,14987.6206074965
2272,6037800204,5,1,1,1,2,14117618.65625,30969.653300531696
2273,6037930101,5,1,1,2,1,228245074.179688,128688.244600477
2274,6037920339,4,1,1,1,1,50024081.2304688,32181.4784146187
2285,6037901003,0,0,1,0,4,3866186.5507812495,7869.92120358325
2287,6037920043,6,3,1,1,1,27501445.3242188,24866.049560905296
2288,6037910810,5,1,1,1,2,35151394.0234375,26534.5405565784
2289,6037920032,6,3,1,1,1,18192822.0625,19762.609926391295
2290,6037920036,7,2,1,3,1,1793197.79296875,6362.10563201586
2291,6037920029,5,1,1,2,1,3303113.53125,10126.352555105
2292,6037920020,5,2,1,1,1,15958268.5390625,23231.2075448819
2293,6037920322,6,1,1,2,2,1534280.546875,5605.05151922097
2294,6037103400,7,2,1,2,2,3673644.7695312495,9206.11914685679
2306,6037480500,7,1,2,1,3,3093132.71484375,8992.55894181478
2310,6037430803,5,1,1,1,2,3329844.97265625,8045.748685123119
2311,6037400205,5,1,2,1,1,34667462.109375,32549.3258628935
2314,6037408627,6,1,2,2,1,4657482.234375,11846.4943147928
2316,6037400402,7,2,2,1,2,6436412.03125,14797.9138797596
2322,6037277000,7,1,4,1,1,3347502.2890625,8040.66085262956
2324,6037143500,7,1,3,1,2,1810104.0859375,6950.40684453876
2326,6037141600,5,1,2,1,1,5634879.34765625,13617.312529623
2328,6037143902,6,1,3,1,1,3692777.8125,12431.0742633521
2329,6037143901,7,1,4,1,1,7747748.148437501,15310.4214516943
2339,6037430302,6,2,1,1,2,2837402.984375,8660.6253486307
